wavelength [nm],transmittance,reflectance
300,0.178434,0.0277069
301,0.177176,0.0246108
302,0.176936,0.0246192
303,0.174409,0.0233844
304,0.173505,0.0226974
305,0.172725,0.0218647
306,0.170029,0.0206456
307,0.170715,0.0203747
308,0.167407,0.0190144
309,0.168112,0.0191377
310,0.165241,0.0178392
311,0.165331,0.0181786
312,0.16303,0.0169701
313,0.162677,0.0174937
314,0.160509,0.0162783
315,0.160306,0.0170767
316,0.157558,0.0157214
317,0.158266,0.0168781
318,0.154236,0.0154119
319,0.15638,0.0167133
320,0.151053,0.0157184
321,0.153781,0.0162272
322,0.149166,0.0171196
323,0.149394,0.0155079
324,0.1492,0.0191333
325,0.144044,0.0168345
326,0.148525,0.0190266
327,0.141994,0.0252982
328,0.144172,0.0179686
329,0.131968,0.0205046
330,0.130468,0.00106783
331,0.119402,0.018298
332,0.132155,0.0106799
333,0.128399,0.0110012
334,0.122598,0.0118578
335,0.126963,0.0108332
336,0.125546,0.00980218
337,0.119854,0.0101172
338,0.121248,0.01067
339,0.122013,0.0105957
340,0.117143,0.0101947
341,0.115447,0.0103468
342,0.117906,0.0113792
343,0.116481,0.0124048
344,0.111926,0.012461
345,0.112003,0.0120915
346,0.116308,0.0130778
347,0.112686,0.0031372
348,0.106185,0.0111991
349,0.103564,0.0088905
350,0.102181,0.0107762
351,0.103681,0.0121765
352,0.103456,0.0123978
353,0.100711,0.0117538
354,0.0984376,0.0111674
355,0.0991829,0.0121028
356,0.102332,0.0162339
357,0.0998352,0.0225486
358,0.0852298,-0.0121339
359,0.0897413,0.0133344
360,0.0878443,0.00733988
361,0.0822561,0.00885409
362,0.080136,0.00869689
363,0.0804357,0.00813193
364,0.0819039,0.00835051
365,0.0835621,0.00934944
366,0.0849588,0.0111843
367,0.0862119,0.0146061
368,0.0878367,0.024488
369,0.0703026,-0.00562986
370,0.0746171,0.00784061
371,0.073938,0.00554457
372,0.0720145,0.00678597
373,0.0710197,0.0073718
374,0.0704278,0.00750968
375,0.0699643,0.00767961
376,0.0695286,0.00789639
377,0.0691318,0.0081049
378,0.0687745,0.00829616
379,0.0684517,0.00847936
380,0.0681533,0.00866397
381,0.067872,0.0088567
382,0.0675905,0.00906021
383,0.0673247,0.00927992
384,0.0670701,0.00951775
385,0.0668333,0.00977699
386,0.0666097,0.0100595
387,0.066415,0.0103698
388,0.0662568,0.0107113
389,0.0661101,0.011081
390,0.0660059,0.0114823
391,0.0659343,0.0119084
392,0.065886,0.0123465
393,0.0658627,0.0127791
394,0.0658341,0.0131758
395,0.065786,0.0135057
396,0.0656724,0.0137351
397,0.0654941,0.0138579
398,0.0652542,0.0139059
399,0.0649751,0.0139748
400,0.0647362,0.0142488
401,0.0646443,0.0149907
402,0.0648323,0.0164991
403,0.0653645,0.0189904
404,0.0662413,0.0224566
405,0.0672394,0.0264452
406,0.0680207,0.0297977
407,0.067733,0.0273311
408,0.0283767,0.00236225
409,0.0551392,0.0258124
410,0.0525468,0.00820439
411,0.055688,0.00981493
412,0.0548145,0.0100083
413,0.054531,0.0103304
414,0.0530389,0.0100706
415,0.0522964,0.0112306
416,0.0531063,0.0129089
417,0.0543644,0.0135944
418,0.0548425,0.0132417
419,0.0542959,0.0127131
420,0.0534212,0.0127857
421,0.0531005,0.0135891
422,0.0536138,0.0146093
423,0.0544266,0.0151661
424,0.0546883,0.015012
425,0.0541101,0.0145998
426,0.053361,0.0147031
427,0.0533599,0.0155757
428,0.0541514,0.0165503
429,0.0546935,0.0167497
430,0.0542203,0.0162733
431,0.0533899,0.0162121
432,0.0534688,0.0171835
433,0.0544166,0.0182904
434,0.0547887,0.0183241
435,0.0539815,0.0177144
436,0.0533684,0.0180482
437,0.054108,0.0194687
438,0.0550237,0.0201948
439,0.0545128,0.0195266
440,0.0535548,0.019341
441,0.0540935,0.0208363
442,0.0552641,0.0220255
443,0.0548471,0.0213086
444,0.0537371,0.0208936
445,0.0543894,0.0226828
446,0.0556685,0.0240385
447,0.054928,0.0229305
448,0.0538622,0.0227411
449,0.0550923,0.0252918
450,0.0560996,0.0261588
451,0.0546412,0.0243452
452,0.0542969,0.0255281
453,0.0562906,0.0288785
454,0.0560219,0.0277631
455,0.0542031,0.0262676
456,0.0558351,0.0307717
457,0.0572996,0.0324776
458,0.0549149,0.0284693
459,0.0553527,0.0326257
460,0.0585143,0.039148
461,0.0562121,0.0326916
462,0.0552466,0.0358663
463,0.0609487,0.0550705
464,0.0581217,0.0387825
465,0.0421025,0.0905514
466,0.0376488,-0.00227481
467,0.0532314,0.0427165
468,0.0434886,0.0185534
469,0.0447517,0.0178095
470,0.0482767,0.0266243
471,0.0473748,0.0267209
472,0.048113,0.0233518
473,0.0446028,0.0239895
474,0.046322,0.025862
475,0.0468527,0.0245109
476,0.0456662,0.02629
477,0.0478229,0.0277152
478,0.0478426,0.0269477
479,0.0473085,0.0281916
480,0.0490902,0.0296909
481,0.0486494,0.0288711
482,0.0482439,0.0302454
483,0.0502986,0.0323507
484,0.0486672,0.0304042
485,0.0497461,0.0342219
486,0.0514909,0.035595
487,0.0486479,0.0328929
488,0.0543577,0.0453099
489,0.0515844,0.0371769
490,0.058818,0.0765205
491,0.0293991,0.00482196
492,0.0522272,0.0434811
493,0.0416577,0.0200884
494,0.0401586,0.0242454
495,0.0434406,0.0265935
496,0.0445891,0.0266901
497,0.0440901,0.0289481
498,0.0428472,0.0255546
499,0.0425295,0.0273629
500,0.0429026,0.0274007
501,0.0425955,0.0269923
502,0.0440057,0.0296696
503,0.0431882,0.0274919
504,0.0449031,0.0307435
505,0.0440535,0.0289998
506,0.0452418,0.0308532
507,0.0451423,0.0311937
508,0.0451443,0.0306751
509,0.0463334,0.0335637
510,0.0449896,0.0308779
511,0.0474348,0.0357473
512,0.0452465,0.0320468
513,0.048301,0.0376432
514,0.0463794,0.0348291
515,0.0489511,0.0394613
516,0.0491917,0.0407507
517,0.0496666,0.0420017
518,0.0577379,0.0589447
519,0.0571765,0.0728488
520,0.0239067,0.00360167
521,0.0518119,0.0451791
522,0.0346225,0.0162453
523,0.036291,0.0249176
524,0.0364651,0.0221005
525,0.0421995,0.0295232
526,0.0395106,0.025102
527,0.0380869,0.0258109
528,0.0377487,0.0241825
529,0.0364864,0.0247151
530,0.0381821,0.0253574
531,0.0370441,0.0252685
532,0.0391358,0.0265037
533,0.0378866,0.0257241
534,0.0398887,0.0272503
535,0.0385337,0.0260535
536,0.0403071,0.0277322
537,0.0389135,0.0263266
538,0.0404603,0.0280526
539,0.0390814,0.0265609
540,0.0404538,0.0282776
541,0.0391235,0.0267738
542,0.0403935,0.0284675
543,0.0391057,0.0269807
544,0.0403263,0.0286465
545,0.0390735,0.0271953
546,0.040288,0.0288335
547,0.0390434,0.0274209
548,0.0402822,0.0290257
549,0.0390318,0.0276661
550,0.0403003,0.0292129
551,0.0390488,0.0279385
552,0.0403256,0.0293803
553,0.0391161,0.0282559
554,0.0403366,0.029511
555,0.0392407,0.028625
556,0.0403012,0.0295839
557,0.0394324,0.0290518
558,0.0402014,0.0295912
559,0.0397156,0.0295483
560,0.0400365,0.029544
561,0.0400625,0.0300832
562,0.0398147,0.0294657
563,0.0404466,0.0306194
564,0.0395868,0.0294158
565,0.0408059,0.0310903
566,0.0394357,0.0294781
567,0.0410432,0.0314052
568,0.039443,0.0297305
569,0.0410571,0.0314805
570,0.0396867,0.0302309
571,0.0408262,0.0313137
572,0.0401748,0.0309598
573,0.0403931,0.0309772
574,0.0408049,0.0317866
575,0.0399077,0.0306479
576,0.0413275,0.032453
577,0.0396392,0.030598
578,0.0415147,0.0327301
579,0.0398189,0.0310401
580,0.0412089,0.0324924
581,0.0404519,0.0319456
582,0.0405105,0.03189
583,0.0412831,0.0330075
584,0.039892,0.0314253
585,0.0418017,0.033685
586,0.0398051,0.0315776
587,0.0416062,0.0335798
588,0.0404755,0.0325423
589,0.0407787,0.032822
590,0.0415152,0.0338654
591,0.0399604,0.032132
592,0.0420984,0.0346481
593,0.0399571,0.0323713
594,0.0416609,0.0343002
595,0.0409682,0.0337144
596,0.0405282,0.0332198
597,0.0421339,0.0351942
598,0.0398738,0.0327128
599,0.0422569,0.0354891
600,0.040591,0.0337477
601,0.0411008,0.034364
602,0.0420899,0.0356433
603,0.0399923,0.0333191
604,0.042661,0.0364757
605,0.0404761,0.0340924
606,0.041499,0.0353417
607,0.0422264,0.0363082
608,0.0400993,0.0339428
609,0.0430076,0.0374201
610,0.0406074,0.034745
611,0.0416358,0.0360483
612,0.0426647,0.037353
613,0.0401137,0.0344831
614,0.0433206,0.0383599
615,0.0410998,0.0358416
616,0.0414582,0.0364067
617,0.0434561,0.0388589
618,0.0401868,0.0351032
619,0.0434146,0.0390832
620,0.0421755,0.0376701
621,0.0409623,0.0363905
622,0.0444156,0.0406373
623,0.0407855,0.0363617
624,0.0429207,0.0391318
625,0.0439666,0.0404497
626,0.0405271,0.0364335
627,0.0448738,0.0418986
628,0.0426368,0.0392008
629,0.0417121,0.0382937
630,0.0459327,0.0435966
631,0.0414088,0.0380891
632,0.0438694,0.0413986
633,0.0458979,0.0439669
634,0.0410375,0.0380569
635,0.0462941,0.0448968
636,0.0451151,0.0434217
637,0.0418314,0.0395148
638,0.0485008,0.0481871
639,0.044119,0.0426194
640,0.0437219,0.0424287
641,0.0503035,0.0510557
642,0.0433367,0.0421103
643,0.0465588,0.0466688
644,0.0519005,0.0537708
645,0.0430797,0.0423011
646,0.0503948,0.0523826
647,0.0537513,0.0569826
648,0.0434535,0.0433678
649,0.0557795,0.0604531
650,0.0567984,0.0620866
651,0.0444133,0.0452986
652,0.0647424,0.0740602
653,0.0637931,0.0734451
654,0.0447917,0.0464836
655,0.0876516,0.110551
656,0.104397,0.143625
657,0.0490342,0.0690426
658,0.0228478,0.0127758
659,0.0652212,0.0644438
660,0.0384549,0.039602
661,-0.0188356,-0.0306073
662,0.0156402,0.0091254
663,0.044706,0.042089
664,0.0352703,0.0269353
665,0.0355224,0.0298183
666,0.0349901,0.0322805
667,0.0214667,0.014857
668,0.0208078,0.0163116
669,0.0215547,0.0211439
670,0.0158159,0.0131485
671,0.0220624,0.0187962
672,0.0266379,0.0254112
673,0.0212912,0.0186736
674,0.0249925,0.0210109
675,0.0307927,0.0273165
676,0.0264919,0.0221724
677,0.0268136,0.0219291
678,0.0322777,0.0277173
679,0.0296861,0.0244288
680,0.027568,0.0222945
681,0.0317118,0.0271118
682,0.0309084,0.0256755
683,0.0277016,0.0224381
684,0.0301313,0.0258896
685,0.0306899,0.0260441
686,0.0275358,0.0225461
687,0.0283919,0.0245368
688,0.0297055,0.02586
689,0.0272635,0.0227437
690,0.0269922,0.0234028
691,0.0285692,0.0254756
692,0.0270287,0.0231276
693,0.026046,0.0226015
694,0.0275875,0.0250276
695,0.0269362,0.0237389
696,0.0255148,0.0221845
697,0.0268217,0.0245002
698,0.0270539,0.0245358
699,0.0253835,0.0222551
700,0.0261641,0.0238194
701,0.0272988,0.0253
702,0.0257362,0.0229677
703,0.0255891,0.0230899
704,0.0274241,0.0256737
705,0.0266021,0.0243224
706,0.0252944,0.0226936
707,0.0271613,0.0253636
708,0.0277626,0.0259667
709,0.0256708,0.0231822
710,0.0264663,0.0244257
711,0.0286595,0.0271675
712,0.0270364,0.0249196
713,0.0258591,0.0235847
714,0.0286878,0.0272038
715,0.029118,0.0275189
716,0.0262822,0.0240274
717,0.0276987,0.0259645
718,0.0308574,0.0296824
719,0.0285599,0.0267295
720,0.0266961,0.0246892
721,0.0309336,0.0298519
722,0.0322681,0.03119
723,0.0278247,0.0259312
724,0.0291626,0.0277982
725,0.0352695,0.0349099
726,0.033006,0.0320255
727,0.0280662,0.0264537
728,0.0349182,0.034733
729,0.0418306,0.0426714
730,0.0340597,0.0335189
731,0.0309934,0.0302307
732,0.0516341,0.0549888
733,0.0674015,0.0748695
734,0.0519194,0.0584872
735,0.0230896,0.0237385
736,0.0210263,0.01634
737,0.0351097,0.0301016
738,0.026708,0.0235799
739,0.00115951,-0.000965778
740,-0.00338675,-0.00591218
741,0.0165433,0.0131372
742,0.0280751,0.0237912
743,0.0241497,0.0192607
744,0.0193003,0.0147755
745,0.0185514,0.0151689
746,0.0145737,0.0119485
747,0.00922759,0.00658817
748,0.0102898,0.00769634
749,0.0138629,0.0119505
750,0.0127287,0.0114027
751,0.0106119,0.00898017
752,0.0133685,0.0110032
753,0.0166686,0.0141181
754,0.0155074,0.0131485
755,0.0137359,0.0111551
756,0.0158502,0.0126625
757,0.0182195,0.0147472
758,0.0170844,0.0137316
759,0.0154609,0.0121303
760,0.0167478,0.0131991
761,0.0182964,0.0146364
762,0.0172984,0.0137462
763,0.0158696,0.0124169
764,0.016516,0.0130577
765,0.0174468,0.0140137
766,0.0166304,0.0132937
767,0.0154701,0.0122189
768,0.0157329,0.0125565
769,0.0162433,0.0131742
770,0.0156057,0.0126253
771,0.014757,0.011814
772,0.0148745,0.0120096
773,0.015145,0.0124262
774,0.0146512,0.012019
775,0.0140779,0.0114305
776,0.0141873,0.011581
777,0.0143386,0.0118897
778,0.0139275,0.0115768
779,0.0135387,0.0111343
780,0.0136972,0.0112765
781,0.0138177,0.0115433
782,0.0134426,0.0112918
783,0.0131293,0.0109143
784,0.0133356,0.0110413
785,0.0135017,0.0113169
786,0.0131669,0.011134
787,0.0128457,0.0107707
788,0.0130515,0.0108456
789,0.0132982,0.0111416
790,0.013035,0.011048
791,0.0126631,0.0106856
792,0.0127999,0.0106679
793,0.0131228,0.010963
794,0.0129764,0.0109772
795,0.0125606,0.0106393
796,0.0125689,0.0105096
797,0.0129328,0.0107668
798,0.0129486,0.010896
799,0.0125372,0.0106245
800,0.0123682,0.0103809
